data_bulan,data_tahun,nama,id_tps,alamat,kecamatan,kelurahan,jenis_fasilitas,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kapasitas,vol_masuk,vol_dikelola,volume_sampah_diolah,vol_diangkut,waktu_angkut
3,2025,RUKOM MEDOKAN AYU,,Jl. Medokan Asri Tengah VI,Kec.  Rungkut,Kel.  Medokan Ayu,Rumah Kompos,2017,Rumah Kompos,armroll,,aktif,14,3.011111111,3.011111111,3.011111111,,
3,2025,RUKOM JANGKAR,,Jl. Jambangan Baru VI (Taman Jangkar),Kec.  Jambangan,Kel.  Jambangan,Rumah Kompos,2014,Rumah Kompos,armroll,,aktif,8,2.877777778,2.877777778,2.877777778,,
3,2025,RUKOM WONOREJO 2,,Jl. Kendalsari - Wonorejo (Area Kebun Bibit Wonorejo),Kec.  Rungkut,Kel.  Wonorejo,Rumah Kompos,2017,Rumah Kompos,armroll,,aktif,60,26.47222222,26.47222222,26.47222222,,
3,2025,RUKOM MBAH RATU,,Jl. Gresik Gadukan Timur (Makam Mbah Ratu),Kec.  Krembangan,Kel.  Morokrembangan,Rumah Kompos,2018,Rumah Kompos,armroll,,aktif,8,1.544444444,1.544444444,1.544444444,,
3,2025,PEMILAHAN SUPERDEPO SUTOREJO,,Jl. Kalisari Timur - Sutorejo,Kec.  Mulyorejo,Kel.  Kalisari,TPS 3R,2013,TPS 3R,compactor,2013,aktif,20,1427.463333,1427.463333,691.03,0,
3,2025,PEMILAHAN PDU JAMBANGAN,,Jl. Jambangan Kebon Agung,Kec.  Jambangan,Kel.  Jambangan,TPS 3R,2016,TPS 3R,compactor,2016,aktif,20,2003.656667,2003.656667,1370.41,0,
3,2025,PEMILAHAN TPS 3R TAMBAK OSO WILANGUN,,Jl. Tambak Oso Wilangun Kelurahan,Kec.  Benowo,Kel.  Tambak Oso Wilangun,TPS 3R,2018,TPS 3R,compactor,2019,aktif,20,1175.043333,1175.043333,466.0333333,0,
3,2025,PEMILAHAN BRATANG,,Jl. Manyar (Taman Flora),Kec.  Gubeng,Kel.  Baratajaya,TPS 3R,2016,TPS 3R,compactor,2016,aktif,5,850.1433333,850.1433333,470.3833333,0,
3,2025,PLTSa BRATANG,,Jl. Manyar (Taman Flora),Kec.  Gubeng,Kel.  Baratajaya,PLTSa,2017,PLTSa,armroll,,tidak aktif,0,0,0,0,0,
3,2025,PLTSa JAMBANGAN,,Jl. Jambangan Kebon Agung,Kec.  Jambangan,Kel.  Jambangan,PLTSa,2017,PLTSa,armroll,,tidak aktif,0,0,0,0,0,
3,2025,TPS3R KedungCowek,,Jl. Raya Kedung Cowek No. 1 (jalan akses Jalan Lingkar Luar Timur),Kec.  Kenjeran,Kel.  Kedung Cowek,TPS 3R,2019,TPS 3R,compactor,2019,aktif,20,675.51,675.51,349.1666667,0,
3,2025,TPS3R TENGGILIS,,Jl. Tenggilis Barat I,Kec.  Tenggilis Mejoyo,Kel.  Tenggilis Mejoyo,TPS 3R,2019,TPS 3R,compactor,2020,aktif,20,614.89,614.89,390.4366667,0,
3,2025,RUKOM LIPONSOS KEPUTIH,,Jl. Keputih Tegal 32,Kec.  Sukolilo,Kel.  Keputih,Rumah Kompos,2010,Rumah Kompos,armroll,,aktif,8,0.066666667,0.066666667,0.066666667,,
3,2025,RUKOM WONOREJO,,Jl. Kendalsari Kebun Bibit Wonorejo,Kec.  Rungkut,Kel.  Wonorejo,Rumah Kompos,2007,Rumah Kompos,armroll,,aktif,20,0.111111111,0.111111111,0.111111111,,
3,2025,RUKOM JAMBANGAN,,Jl. Kebon Agung no 1,Kec.  Jambangan,Kel.  Jambangan,Rumah Kompos,2013,Rumah Kompos,armroll,,aktif,40,13.58333333,13.58333333,13.58333333,,
3,2025,RUKOM BALAS KLUMPRIK,,Jl. Balas Klumprik PDAM,Kec.  Wiyung,Kel.  Balas Klumprik,Rumah Kompos,2011,Rumah Kompos,armroll,,aktif,14,3.355555556,3.355555556,3.355555556,,
3,2025,TPS 3R Banjarsugihan,,Jl Banjarsugihan Gang Rolax,Kec. Tandes,Kel. Banjar Sugihan,TPS 3R,2023,TPS 3R,compactor,2024,aktif,20,0,0,0,,
3,2025,RUKOM NGINDEN JANGKUNGAN,,Jl. Nginden Jangkungan,Kec. Sukolilo,Kel. Nginden Jangkungan,Rumah Kompos,2023,Rumah Kompos,armroll,2024,aktif,14,14,14,14,,
3,2025,TPS 3R Tambakwedi,,Jl. Kedung Cowek - Suramadu,Kec. Kenjeran,Kel. Tambak Wedi,TPS 3R,2024,TPS 3R,compactor,2024,aktif,20,20,20,20,,
3,2025,TPS 3R Sumberejo,,Jl. Raya Sumberejo - Pakal,Kec. Pakal,Kel. Sumber Rejo,TPS 3R,2024,TPS 3R,compactor,2024,aktif,20,20,20,20,,
