Nama,Alamat,Kelurahan,Kecamatan,Kapasitas,Volume Masuk,Volume Dikelola,Volume Sampah Diolah,Volume Diangkut,Latitude,Longitude
TPS Prapen,Jl. Raya Prapen,Panjang Jiwo,Tenggilis Mejoyo,19.8,19.8,19.8,19.8,19.8,-7.3121667,112.7614965
TPS Prapen Sisi Timur (Depan Graha Track),Jl. Raya Prapen (Sisi Timur),Panjang Jiwo,Tenggilis Mejoyo,19.8,19.8,19.8,19.8,19.8,-7.3121667,112.7614965
TPS Raya Prapen,Jl. Raya Prapen Sisi Barat,Panjang Jiwo,Tenggilis Mejoyo,19.8,19.8,19.8,19.8,19.8,-7.3121667,112.7614965
TPS 3R Tenggilis,Jl. Tenggilis Barat I,Tenggilis Mejoyo,Tenggilis Mejoyo,20,614.9,614.9,390.4,0,-7.3198073,112.7569099
Rukom Tenggilis Rayon Taman,Jl. Tenggilis Tengah,Tenggilis Mejoyo,Tenggilis Mejoyo,14,4.3,4.3,4.3,0,-7.3198073,112.7569099
Rukom Tenggilis Utara,Jl. Tenggilis Utara,Tenggilis Mejoyo,Tenggilis Mejoyo,14,3.4,3.4,3.4,0,-7.3198073,112.7569099
TPS Tenggilis Utara,Jl. Tenggilis Utara,Tenggilis Utara,Tenggilis Mejoyo,28,28,28,28,28,-7.3164081,112.7550217
TPS Babatan Indah,Jl. Babatan Indah,Babatan,Wiyung,14,14,14,14,14,-7.3021334,112.6811362
Rukom Balas Klumprik,Jl. Balas Klumprik Pdam,Balas Klumprik,Wiyung,14,3.4,3.4,3.4,0,-7.3270194,112.6873078
TPS Balas Klumprik,Jl. Koterm Balas Klumprik,Balas Klumprik,Wiyung,14,14,14,14,14,-7.3270194,112.6873078
TPS Pondok Manggala,Jl. Pondok Mnggala,Balas Klumprik,Wiyung,14,14,14,14,14,-7.3270194,112.6873078
TPS Wiyung Kramat,Jl. Kramat Wiyung,Jajar Tunggal,Wiyung,8,8,8,8,8,-7.3090046,112.7057276
TPS Gogor / Jajar Tunggal,Jl. Mastrip,Jajar Tunggal,Wiyung,14,14,14,14,14,-7.3090046,112.7057276
TPS Pasar Wiyung,Jl. Menganti Wiyung,Wiyung,Wiyung,14,14,14,14,14,-7.3109179,112.693824
TPS Tpi Wiyung,Jl. Tpi Wiyung,Wiyung,Wiyung,14,14,14,14,14,-7.3109179,112.693824
TPS Jemur Wonosari,Jl. Jemur Wonosari,Jemur Wonosari,Wonocolo,19.8,19.8,19.8,19.8,19.8,-7.3240169,112.7379509
TPS Siwalankerto,Jl. Siwalan Kerto,Siwalankerto,Wonocolo,26.4,25.4,25.4,26.4,25.4,-7.3356142,112.7359922
TPS Pasar Beras Bendul Merisi,Jl. Bendul Merisi,Bendul Merisi,Wonokromo,28,28,28,28,28,-7.3071908,112.7360777
Depo Bendul Merisi,Jl. Bendul Merisi Selatan,Bendul Merisi,Wonokromo,42,42,42,42,42,-7.3071908,112.7360777
TPS Taman Ketampon,Jl. Taman Ketampon,Darmo,Wonokromo,23,23,23,23,23,-7.2894287,112.7332404
TPS Jagir,Jl. Jagir,Jagir,Wonokromo,26.4,26.4,26.4,26.4,26.4,-7.3058685,112.7424765
TPS Ngagel,Jl. Ngagel,Ngagel,Wonokromo,19.8,19.8,19.8,19.8,19.8,-7.290469,112.7451258
TPS Bratang Lapangan,Jl. Bratang Lapangan,Ngagel Rejo,Wonokromo,14,14,12,14,14,-7.2978653,112.7492322
TPS Ngagel Dadi,Jl. Ngagel Dadi III,Ngagel Rejo,Wonokromo,14,14,14,14,14,-7.2978653,112.7492322
TPS Joyoboyo,Jl. Joyoboyo Gunungsari,Sawunggaling,Wonokromo,26.4,26.4,26.4,26.4,26.4,-7.2985439,112.7265924
TPS Wonoboyo,Jl. Wonoboyo Batanghari,Sawunggaling,Wonokromo,14,14,14,14,14,-7.2985439,112.7265924
TPS Jetis Kulon,Jl. Jetis Kulon,Wonokromo,Wonokromo,14,14,14,14,14,-7.3020554,112.7392222
